"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LCC3_SMD";1;"APD";;;
2;"C1";"C_0805_HandSoldering";1;"1uF";;;
3;"C2";"C_0805_HandSoldering";1;"0.047uF/200 V(smaller)";;;
4;"C3";"C_0805_HandSoldering";1;"0.1uF / 200V";;;
5;"C4";"C_0805_HandSoldering";1;"0.22uF";;;
6;"C5";"C_0805_HandSoldering";1;"0.1uF";;;
7;"C6";"C_0805_HandSoldering";1;"0.5-1pF";;;
8;"R1";"R_0805_HandSoldering";1;"4k";;;
9;"R2,R3";"R_0805_HandSoldering";2;"1.2M (0)";;;
10;"R4";"R_0805_HandSoldering";1;"3.3k";;;
11;"R5";"R_0805_HandSoldering";1;"2.2M (1M)";;;
12;"R6";"R_0805_HandSoldering";1;"24.9k";;;
13;"R7";"R_0805_HandSoldering";1;"20k (higher?)";;;
14;"R8";"R_0805_HandSoldering";1;"32.4k";;;
15;"R9,R10";"R_0805_HandSoldering";2;"100k";;;
16;"U1";"QFN-12_4x4";1;"MAX1932";;;
17;"VREF";"PAD_SMD_3mm";1;"AREF";;;
18;"JP2,JP1";"GS3";2;"Jumper_NC_Dual";;;
19;"D1";"SMB_Handsoldering";1;"220V";;;
20;"D3";"TOPLED";1;"LED";;;
21;"L1";"Choke_SMD_7.3x7.3_H3.5";1;"250uH / 0.1A";;;
22;"R11";"R_0805_HandSoldering";1;"<1G Ohm";;;
23;"SW1";"PUSH_BUTTON_SMD";1;"BUT";;;
24;"SW2";"DC_JACK_SMD";1;"DC_JACK";;;
25;"U2";"ARDUINO_MICRO_SMD";1;"ARDUINO_MICRO";;;
26;"U3";"SOIC-08_N";1;"OPA656";;;
27;"VBIAS";"PAD_SMD_3mm";1;"VBiasM";;;
28;"GND";"PAD_SMD_3mm";1;"GND";;;
29;"N1,N2";"SOT-23";2;"BSS131";;;
30;"R12";"R_0805_HandSoldering";1;"10k";;;
31;"TH1";"R_0805_HandSoldering";1;"Thermistor_NTC 10k";;;
32;"X2";"PAD_SMD_4x2mm";1;"P+";;;
33;"X3";"PAD_SMD_4x2mm";1;"P-";;;
34;"G***,G***";"OpenAPD_Photonpack2";2;"LOGO";;;
35;"G***";"OpenHardwareLogo";1;"LOGO";;;
36;"BLOW-";"PAD_SMD_3mm";1;"BLOWER+";;;
37;"BLOW+";"PAD_SMD_3mm";1;"BLOWER-";;;
