"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_1206_3216Metric";1;"L";;;
2;"U2";"TQFP-48_7x7mm_Pitch0.5mm";1;"SAMD21G18B-A   changed from SAML21";;;
3;"S1";"OLED_096_1_Flip";1;"OLED_DISPLAY";;;
4;"Y1";"Crystal_SMD_3215-2pin_3.2x1.5mm";1;"32.765";;;
5;"LED2,LED1";"LED-0805";2;"LED";;;
6;"U1";"SOT-223";1;"TLV1117-33";;;
7;"J3";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
8;"J2";"Pin_Header_Straight_2x05_Pitch1.27mm_SMD";1;"Conn_02x05_Odd_Even";;;
9;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
10;"Q2,Q1,Q3";"SOT-23";3;"Q_NMOS_GSD";;;
11;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
12;"C2";"C_1206_3216Metric";1;"100uF,35V";;;
13;"C3,C5";"C_1206_3216Metric";2;"22uF";;;
14;"C4,C1,C12,C14,C16";"C_0805_2012Metric";5;"1uF";;;
15;"C6,C7,C8,C9";"C_0805_2012Metric";4;"100nF";;;
16;"R4,R7";"R_0805_2012Metric";2;"390k";;;
17;"C10,C11";"C_0805_2012Metric";2;"22pF";;;
18;"C15,C17";"C_0805_2012Metric";2;"2.2uF";;;
19;"R1";"R_0805_2012Metric";1;"10k";;;
20;"R2,R3";"R_0805_2012Metric";2;"390";;;
21;"R9,R10";"R_0805_2012Metric";2;"5k";;;
22;"X3,X1,X2,X4,X5,X6,X7";"SolderPad1_8mm";7;"PAD";;;
23;"G***";"GaudiLabs_8";1;"LOGO";;;
24;"R5";"R_0805_2012Metric";1;"100k";;;
25;"D1";"D_1210_3225Metric";1;"DIODE";;;
26;"X9,X10,X11";"Fiducial_Cooper";3;"PAD";;;
